fire_id,n_windows,tp,fp,fn,f1,iou,precision,recall
dixie_fire,2,2156,209,197,0.913946587537092,0.8415300546448088,0.9116279069767442,0.9162770930726731
creek_fire,2,5587,1068,793,0.8572305331799003,0.7501342642320086,0.839519158527423,0.875705329153605
eagle_bluff_fire,2,189,43,23,0.8513513513513513,0.7411764705882353,0.8146551724137931,0.8915094339622641
thomas_fire,2,2492,496,378,0.8508023216114715,0.7403446226975638,0.8340026773761714,0.8682926829268293
camp_fire,2,953,177,181,0.8418727915194346,0.7269260106788711,0.8433628318584071,0.8403880070546738
tubbs_fire,2,1748,351,483,0.8073903002309469,0.6769945778466305,0.8327775131014769,0.7835051546391752
carr_fire,2,1269,177,541,0.7794840294840295,0.6386512330145949,0.8775933609958506,0.7011049723756906
lytton_fire,2,854,661,202,0.6643329443796189,0.49737914967967384,0.5636963696369637,0.8087121212121212
blue_ridge_fire,2,53,40,81,0.4669603524229075,0.3045977011494253,0.5698924731182796,0.39552238805970147
calfcanyon_fire,2,0,282,0,0.0,0.0,0.0,0.0
double_creek_fire,2,0,2502,0,0.0,0.0,0.0,0.0
mosquito_fire,2,0,723,0,0.0,0.0,0.0,0.0
