fire_id,n_windows,tp,fp,fn,f1,iou,precision,recall
dixie_fire,1,1158,360,122,0.827734095782702,0.7060975609756097,0.7628458498023716,0.9046875
creek_fire,1,1865,377,412,0.8254038504093826,0.7027128862094951,0.8318465655664585,0.8190601668862538
lytton_fire,1,1054,370,298,0.7593659942363112,0.6120789779326364,0.7401685393258427,0.7795857988165681
thomas_fire,1,598,110,271,0.7584020291693088,0.6108273748723186,0.844632768361582,0.6881472957422324
tubbs_fire,1,441,151,149,0.7461928934010152,0.5951417004048583,0.7449324324324325,0.747457627118644
camp_fire,1,313,95,167,0.704954954954955,0.5443478260869565,0.7671568627450981,0.6520833333333333
carr_fire,1,1315,246,1022,0.6747049769112365,0.5090979481223383,0.8424087123638693,0.5626872058194267
blue_ridge_fire,1,14,12,39,0.35443037974683544,0.2153846153846154,0.5384615384615384,0.2641509433962264
calfcanyon_fire,1,0,25,0,0.0,0.0,0.0,0.0
double_creek_fire,1,0,1644,0,0.0,0.0,0.0,0.0
eagle_bluff_fire,1,0,0,0,0.0,0.0,0.0,0.0
mosquito_fire,1,0,422,0,0.0,0.0,0.0,0.0
