fire_id,F1,IoU,TP,FP,FN,n_days
US_2021_NM3340210587120210426,0.9963,0.9927,352668,34,2553,3
US_2021_CA3568711855020210818,0.9858,0.9721,234172,3262,3467,6
US_2021_WA4828511853120210713,0.9427,0.8915,971776,67128,51093,17
US_2021_MT4568311385420210708,0.94,0.8868,2385754,175366,129212,19
US_2021_AZ3368910927620210616,0.9263,0.8627,753522,21781,98103,6
US_2021_WA4879111827120210805,0.9251,0.8606,495884,35089,45201,7
US_2021_ID4762711608320210708,0.9208,0.8532,1167398,78648,122191,15
US_2021_NM3323810847220210520,0.9188,0.8497,327035,20016,37810,10
US_2021_WA4856812048820210708,0.916,0.8449,237844,23188,20461,9
US_2021_AZ3345510938920210616,0.9145,0.8424,525742,12035,86311,5
US_2021_WA4877811903420210803,0.9139,0.8415,360091,17191,50630,12
US_2021_ID4453211532920210810,0.9,0.8182,508683,91072,21925,15
US_2021_NM3676810505920211120,0.8908,0.8032,563564,113476,24624,7
US_2021_MT4579011310120210708,0.8886,0.7995,988634,210112,37793,22
US_2021_ID4558511544420210705,0.8776,0.7819,483377,80639,54197,14
US_2021_NM3344410803520210514,0.8764,0.7799,161578,5966,39629,6
US_2021_MT4714310953420211004,0.8516,0.7415,529021,156706,27693,6
US_2021_CA3627811855020210815,0.7889,0.6515,4424,1098,1269,5
US_2021_CA3658211879520210912,0.7116,0.5523,569123,351496,109820,13
US_2021_FL2521008104520210308,0.3538,0.2149,47512,163330,10222,4
US_2021_CA4086312235520210630,0.0,0.0,0,0,254,3
US_2021_CA3604711863120210910,0.0,0.0,0,0,0,7
US_2021_CA3451712013120211011,0.0,0.0,0,6728,0,3
US_2021_ID4663811466720210707,0.0,0.0,0,263,0,6
