fire_id,F1,IoU,TP,FP,FN,n_days
US_2021_NM3340210587120210426,0.9839,0.9682,343933,0,11288,3
US_2021_CA3568711855020210818,0.8803,0.7862,233689,59594,3950,6
US_2021_NM3344410803520210514,0.7557,0.6073,164180,69139,37027,6
US_2021_AZ3368910927620210616,0.722,0.5649,824652,608200,26973,6
US_2021_AZ3345510938920210616,0.6966,0.5345,585348,483086,26705,5
US_2021_ID4762711608320210708,0.6425,0.4732,1248000,1347533,41589,15
US_2021_CA3658211879520210912,0.6082,0.437,608796,714235,70147,13
US_2021_NM3676810505920211120,0.6053,0.434,587451,765246,737,7
US_2021_MT4568311385420210708,0.599,0.4275,2509442,3354865,5524,19
US_2021_NM3323810847220210520,0.5918,0.4203,323529,404918,41316,10
US_2021_WA4879111827120210805,0.5661,0.3948,531027,804126,10058,7
US_2021_WA4828511853120210713,0.5342,0.3644,989644,1692640,33225,17
US_2021_MT4714310953420211004,0.5203,0.3516,538798,975652,17916,6
US_2021_WA4877811903420210803,0.4199,0.2657,405720,1116148,5001,12
US_2021_ID4558511544420210705,0.3098,0.1833,526643,2335389,10931,14
US_2021_ID4453211532920210810,0.2875,0.1679,525484,2599641,5124,15
US_2021_WA4856812048820210708,0.2851,0.1662,255575,1279099,2730,9
US_2021_MT4579011310120210708,0.2834,0.1651,992446,4984760,33981,22
US_2021_FL2521008104520210308,0.1922,0.1063,54924,459012,2810,4
US_2021_CA3627811855020210815,0.0361,0.0184,4207,222853,1486,5
US_2021_CA4086312235520210630,0.0013,0.0006,254,402571,0,3
US_2021_CA3451712013120211011,0.0,0.0,0,10280,0,3
US_2021_CA3604711863120210910,0.0,0.0,0,136786,0,7
US_2021_ID4663811466720210707,0.0,0.0,0,806274,0,6
