label f1 iou precision recall
{Blue Ridge} 0.7686 0.6242 0.808 0.733
{Lytton} 0.7849 0.6459 0.728 0.851
{Elephant Hill} 0.8059 0.6749 0.776 0.838
{Chuckegg Creek} 0.8223 0.6982 0.835 0.810
{Sydney} 0.8262 0.7039 0.804 0.850
{Double Creek} 0.8479 0.7360 0.898 0.803
{Tubbs} 0.8517 0.7417 0.872 0.832
{Sparks Lake} 0.8528 0.7433 0.821 0.887
{Camp} 0.8548 0.7464 0.822 0.890
{Eagle Bluff} 0.8564 0.7489 0.843 0.871
{Swedish} 0.8576 0.7507 0.833 0.884
{Thomas} 0.8632 0.7593 0.872 0.854
{Carr} 0.8717 0.7725 0.902 0.844
{Creek} 0.8778 0.7822 0.886 0.869
{Dixie} 0.8962 0.8119 0.898 0.895
