epoch train_loss val_loss val_f1 val_prec val_rec
1 0.64081 0.49741 0.41508 0.27056 0.89110
2 0.57033 0.48470 0.57879 0.41889 0.93615
3 0.49901 0.41755 0.73997 0.65088 0.85733
4 0.28651 0.16672 0.78265 0.75801 0.80894
5 0.17047 0.13917 0.79588 0.78303 0.80916
6 0.15708 0.15727 0.68842 0.62075 0.77264
7 0.15141 0.13170 0.80124 0.81620 0.78683
8 0.14461 0.14674 0.50150 0.37038 0.77634
9 0.14445 0.13931 0.67264 0.59030 0.78167
10 0.14351 0.14116 0.78264 0.88350 0.70244
11 0.14364 0.12566 0.79816 0.79923 0.79709
12 0.14212 0.12475 0.81186 0.82789 0.79643
13 0.13945 0.12946 0.80847 0.84607 0.77406
14 0.13787 0.13498 0.79955 0.85169 0.75342
15 0.13794 0.13553 0.51402 0.37969 0.79547
16 0.13982 0.12229 0.81148 0.83476 0.78947
17 0.13806 0.13573 0.58785 0.46949 0.78599
18 0.13707 0.14169 0.69417 0.64700 0.74876
19 0.13704 0.13084 0.79512 0.86618 0.73484
20 0.13543 0.13196 0.79708 0.86743 0.73729
21 0.13540 0.13945 0.73457 0.71039 0.76046
22 0.13598 0.13463 0.51112 0.37373 0.80825
23 0.13576 0.14363 0.78653 0.85455 0.72854
24 0.13573 0.13250 0.81111 0.84608 0.77891
25 0.13351 0.12671 0.67742 0.57308 0.82823
26 0.13298 0.13442 0.78502 0.87545 0.71152
27 0.13217 0.14135 0.50315 0.37275 0.77390
28 0.13205 0.13345 0.51605 0.37662 0.81942
29 0.13259 0.13961 0.50616 0.37413 0.78219
30 0.13237 0.12142 0.81817 0.82460 0.81184
31 0.13104 0.13119 0.51773 0.37903 0.81653
32 0.13174 0.13055 0.51820 0.37978 0.81541
33 0.13173 0.11977 0.80458 0.84196 0.77038
34 0.12989 0.13025 0.51789 0.38005 0.81259
35 0.13100 0.13142 0.79594 0.87513 0.72988
36 0.12923 0.13377 0.51811 0.38103 0.80927
37 0.12994 0.13433 0.51009 0.37662 0.79005
38 0.12907 0.13437 0.51089 0.37848 0.78580
39 0.12924 0.12873 0.79539 0.86696 0.73473
40 0.12943 0.12897 0.51772 0.37765 0.82296
41 0.12853 0.12931 0.59354 0.47561 0.78921
42 0.12811 0.12593 0.79885 0.86859 0.73948
43 0.12748 0.12398 0.81792 0.83325 0.80314
44 0.12814 0.13304 0.79912 0.82925 0.77109
45 0.12752 0.12943 0.52594 0.38875 0.81275
46 0.12863 0.12929 0.51875 0.38140 0.81067
47 0.12814 0.12774 0.52390 0.38708 0.81033
48 0.12757 0.12834 0.52217 0.38365 0.81724
49 0.12638 0.12477 0.80569 0.86131 0.75681
50 0.12586 0.12857 0.52091 0.38343 0.81206
51 0.12663 0.12302 0.80538 0.86504 0.75342
52 0.12761 0.13264 0.53138 0.40334 0.77853
53 0.12424 0.13223 0.51479 0.38359 0.78239
54 0.12725 0.13164 0.52171 0.39001 0.78770
55 0.12562 0.13034 0.63691 0.53739 0.78167
56 0.12415 0.11816 0.81051 0.85082 0.77384
57 0.12385 0.12870 0.80571 0.84671 0.76850
58 0.12448 0.12927 0.54393 0.41415 0.79219
59 0.12401 0.12770 0.52887 0.39116 0.81625
60 0.12393 0.11238 0.82395 0.82547 0.82243
61 0.12390 0.11700 0.81583 0.84714 0.78675
62 0.12475 0.12179 0.80512 0.86179 0.75545
63 0.12456 0.12384 0.80346 0.85945 0.75432
64 0.12308 0.12007 0.82080 0.83350 0.80849
65 0.12243 0.12079 0.82246 0.83263 0.81253
66 0.12376 0.12637 0.79854 0.86700 0.74010
67 0.12235 0.12537 0.80424 0.81130 0.79731
68 0.12394 0.13126 0.78851 0.87189 0.71969
69 0.12211 0.12475 0.65351 0.54517 0.81558
70 0.12486 0.12474 0.67241 0.57133 0.81696
71 0.12222 0.12684 0.81276 0.84811 0.78024
72 0.12180 0.12615 0.74333 0.69095 0.80429
73 0.12258 0.12646 0.80816 0.85338 0.76748
74 0.12189 0.12515 0.80244 0.85984 0.75222
75 0.12320 0.12252 0.81548 0.84856 0.78489
76 0.12292 0.12533 0.80162 0.80231 0.80094
77 0.12281 0.12662 0.80978 0.85540 0.76877
78 0.12252 0.12737 0.79670 0.86210 0.74053
79 0.12163 0.12527 0.81384 0.84355 0.78615
80 0.12161 0.12785 0.79890 0.86269 0.74389
