threshold f1 iou precision recall
0.25 0.8248 0.7018 0.814 0.836
0.27 0.8246 0.7016 0.815 0.835
0.29 0.8247 0.7017 0.816 0.834
0.31 0.8246 0.7015 0.817 0.833
0.33 0.8246 0.7016 0.818 0.831
0.35 0.8246 0.7016 0.819 0.830
0.37 0.8244 0.7013 0.820 0.829
0.39 0.8244 0.7012 0.821 0.828
0.41 0.8244 0.7012 0.822 0.827
0.43 0.8244 0.7012 0.822 0.826
0.45 0.8242 0.7009 0.823 0.825
0.47 0.8241 0.7008 0.824 0.824
0.49 0.8240 0.7006 0.825 0.823
0.51 0.8239 0.7006 0.826 0.822
0.53 0.8238 0.7004 0.827 0.821
0.55 0.8237 0.7002 0.827 0.820
0.57 0.8235 0.6999 0.828 0.819
0.59 0.8235 0.6999 0.829 0.818
0.61 0.8234 0.6998 0.830 0.817
0.63 0.8232 0.6995 0.830 0.816
0.65 0.8230 0.6992 0.831 0.815
0.67 0.8229 0.6991 0.832 0.814
0.69 0.8229 0.6990 0.833 0.813
