epoch train_loss train_f1 val_loss val_f1 val_iou
1  0.9197 0.0355 0.6881 0.0898 0.0470
2  0.6544 0.1064 0.5976 0.1208 0.0643
3  0.6275 0.1282 0.5816 0.1024 0.0539
4  0.6000 0.1484 0.5207 0.2153 0.1206
5  0.5719 0.2260 0.5145 0.2900 0.1696
6  0.5567 0.2666 0.5371 0.2106 0.1177
7  0.5516 0.3005 0.5560 0.4048 0.2538
8  0.5328 0.3191 0.5060 0.3414 0.2058
9  0.5390 0.3328 0.4888 0.3112 0.1843
10 0.5272 0.3374 0.6516 0.3039 0.1792
11 0.5211 0.3374 0.5012 0.3312 0.1985
12 0.5209 0.3667 0.5159 0.2923 0.1711
13 0.5030 0.3625 0.4914 0.4358 0.2786
14 0.4830 0.3833 0.4971 0.3031 0.1786
15 0.4746 0.3909 0.4968 0.4022 0.2517
16 0.4779 0.4054 0.5002 0.3959 0.2468
17 0.4744 0.3953 0.5487 0.3920 0.2438
18 0.4731 0.3976 0.5161 0.4093 0.2573
19 0.4697 0.3924 0.5698 0.4386 0.2809
20 0.4600 0.4213 0.5918 0.4075 0.2559
21 0.4595 0.4298 0.4926 0.3670 0.2248
22 0.4609 0.4434 0.4996 0.4061 0.2548
23 0.4541 0.4318 0.5144 0.4011 0.2508
24 0.4519 0.4532 0.5088 0.4214 0.2669
25 0.4472 0.4592 0.4962 0.3837 0.2374
26 0.4267 0.4648 0.5167 0.3451 0.2085
27 0.4226 0.4853 0.4787 0.3755 0.2311
28 0.4197 0.5009 0.5025 0.4453 0.2864
29 0.4151 0.5035 0.5124 0.4316 0.2752
30 0.4127 0.5037 0.5474 0.3815 0.2357
31 0.4050 0.5153 0.4753 0.3705 0.2273
32 0.3821 0.5293 0.5409 0.3834 0.2372
33 0.4016 0.5306 0.6086 0.4070 0.2555
34 0.4074 0.5410 0.6013 0.3985 0.2488
35 0.4069 0.5320 0.5709 0.4209 0.2666
36 0.3729 0.5433 0.6102 0.3890 0.2415
37 0.3605 0.5701 0.5025 0.4213 0.2669
38 0.3576 0.5827 0.5553 0.4204 0.2662
39 0.3570 0.5828 0.5930 0.4401 0.2822
40 0.3498 0.6017 0.5200 0.4609 0.2994
41 0.3482 0.6036 0.4997 0.4439 0.2852
42 0.3451 0.6097 0.5679 0.4368 0.2795
43 0.3483 0.6098 0.6016 0.4280 0.2722
44 0.3234 0.6281 0.5652 0.4335 0.2767
45 0.3233 0.6369 0.5777 0.4534 0.2932
46 0.3202 0.6382 0.6302 0.4236 0.2687
47 0.3068 0.6505 0.5549 0.4665 0.3042
48 0.2982 0.6584 0.5417 0.4643 0.3023
49 0.3156 0.6589 0.5769 0.4405 0.2825
50 0.3057 0.6594 0.5805 0.4526 0.2925
51 0.2946 0.6645 0.5100 0.4654 0.3033
52 0.2952 0.6673 0.6119 0.4456 0.2867
53 0.2947 0.6658 0.5958 0.4395 0.2816
54 0.2823 0.6806 0.5938 0.4578 0.2968
55 0.2786 0.6713 0.6149 0.4506 0.2908
56 0.2812 0.6806 0.5619 0.4382 0.2806
57 0.2879 0.6789 0.6058 0.4505 0.2908
58 0.2841 0.6742 0.5731 0.4414 0.2832
59 0.2977 0.6762 0.6090 0.4475 0.2882
60 0.2816 0.6841 0.5967 0.4556 0.2950
